20,1,260
40,0,2
60,1,2
80,1,3
100,1,3
120,2,4
140,2,4
160,3,5
180,4,5
200,4,7
220,6,6
240,6,7
260,8,7
280,9,8
300,9,9
320,12,9
340,14,9
360,19,9
380,17,9
400,19,9
420,32,10
440,38,11
460,32,11
480,36,12
500,35,12
520,38,12
540,42,13
560,40,13
580,48,14
600,45,14
620,52,14
640,51,15
660,51,17
680,58,16
700,55,17
720,68,18
740,59,19
760,75,18
780,65,18
800,68,18
820,70,19
840,71,20
860,74,20
880,86,20
900,86,23
920,90,24
940,94,25
960,100,25
980,97,25
1000,113,25
1020,100,26
1040,104,27
1060,112,27
1080,113,28
1100,116,29
1120,131,28
1140,123,29
1160,129,29
1180,132,31
1200,140,31
1220,143,31
1240,150,32
1260,155,32
1280,159,32
1300,169,33
1320,170,34
1340,174,34
1360,183,34
1380,189,35
1400,189,35
1420,197,36
1440,202,37
1460,209,37
1480,210,66
1500,223,70
1520,225,74
1540,240,81
1560,243,75
1580,250,74
1600,247,74
1620,254,74
1640,262,73
1660,266,72
1680,280,74
1700,280,75
1720,291,74
1740,294,73
1760,302,73
1780,309,73
1800,313,73
1820,328,74
1840,326,72
1860,341,73
1880,348,74
1900,347,73
1920,360,73
1940,370,75
1960,376,76
1980,387,76
2000,394,71
2020,394,72
2040,405,72
2060,413,76
2080,428,96
2100,430,75
2120,442,75
2140,448,76
2160,452,73
2180,472,74
2200,473,75
2220,476,93
2240,492,74
2260,492,75
2280,514,76
2300,517,115
2320,531,141
2340,532,85
2360,545,72
2380,544,72
2400,563,78
2420,571,120
2440,588,78
2460,589,78
2480,605,78
2500,617,76
2520,619,78
2540,646,99
2560,682,129
2580,690,113
2600,671,99
2620,671,98
2640,687,130
2660,695,124
2680,700,126
2700,720,99
2720,726,73
2740,733,74
2760,745,102
2780,766,75
2800,763,75
2820,783,137
2840,809,76
2860,799,77
2880,812,103
2900,826,137
2920,847,91
2940,840,78
2960,864,81
2980,872,125
3000,883,90
3020,892,78
3040,908,78
3060,916,78
3080,937,122
3100,941,78
3120,950,148
3140,972,94
3160,971,79
3180,997,174
3200,1023,81
3220,1034,79
3240,1079,156
3260,1108,146
3280,1071,92
3300,1072,83
3320,1083,184
3340,1099,128
3360,1098,76
3380,1121,127
3400,1153,74
3420,1148,130
3440,1166,184
3460,1174,87
3480,1189,81
3500,1232,77
3520,1220,136
3540,1235,99
3560,1259,79
3580,1253,78
3600,1273,159
3620,1274,138
3640,1310,230
3660,1322,92
3680,1334,189
3700,1340,93
3720,1404,80
3740,1434,138
3760,1433,122
3780,1428,80
3800,1428,78
3820,1459,157
3840,1451,112
3860,1464,81
3880,1487,77
3900,1489,152
3920,1516,77
3940,1530,140
3960,1550,94
3980,1568,191
4000,1600,102
4020,1612,78
4040,1618,179
4060,1628,93
4080,1655,79
4100,1657,161
4120,1741,130
4140,1777,83
4160,1729,209
4180,1731,98
4200,1840,230
4220,1823,284
4240,1797,184
4260,1811,172
4280,1801,122
4300,1847,284
4320,1855,335
4340,1857,326
4360,1917,340
4380,1897,321
4400,1939,275
4420,1931,267
4440,2021,326
4460,1987,275
4480,1998,348
4500,2033,359
4520,2044,358
4540,2066,351
4560,2074,335
4580,2082,325
4600,2092,311
4620,2131,280
4640,2115,279
4660,2127,277
4680,2161,248
4700,2221,349
4720,2252,342
4740,2235,352
4760,2235,360
4780,2266,352
4800,2292,322
4820,2292,307
4840,2301,301
4860,2330,278
4880,2404,366
4900,2375,261
4920,2396,359
4940,2423,364
4960,2507,334
4980,2484,320
5000,2494,307
